Cluster_Name	NCBI_Accession	Protein	Domain	Domain_Accession	E-value_hmmer	FinalGCFs
799_Aspergillus_indologenus	GCA_003184685.1	PYI27884.1	Methyltransf_24	PF13578.7	9.5e-09	143
799_Aspergillus_indologenus	GCA_003184685.1	PYI27884.1	Methyltransf_3	PF01596.18	1e-11	143
799_Aspergillus_indologenus	GCA_003184685.1	PYI27885.1	Fungal_trans_2	PF11951.9	2.9e-08	143
799_Aspergillus_indologenus	GCA_003184685.1	PYI27885.1	Zn_clus	PF00172.19	1.5e-10	143
799_Aspergillus_indologenus	GCA_003184685.1	PYI27886.1	DIT1_PvcA	PF05141.13	1.2999999999999996e-90	143
799_Aspergillus_indologenus	GCA_003184685.1	PYI27886.1	TauD	PF02668.17	1.2e-20	143
799_Aspergillus_indologenus	GCA_003184685.1	PYI27887.1	p450	PF00067.23	9e-48	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71288.1	Abhydrolase_1	PF00561.21	1.8e-05	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71288.1	Chlorophyllase2	PF12740.8	1.8e-08	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71288.1	PAF-AH_p_II	PF03403.14	2.4e-17	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71289.1				143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71290.1				143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71291.1	DIT1_PvcA	PF05141.13	1.2999999999999997e-71	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71291.1	TauD	PF02668.17	6.6e-20	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71292.1	Fungal_trans_2	PF11951.9	3.5e-08	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71292.1	Zn_clus	PF00172.19	2.5e-10	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71293.1	Methyltransf_24	PF13578.7	1.9e-09	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71293.1	Methyltransf_3	PF01596.18	1.4e-11	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71294.1				143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71295.1	Rieske	PF00355.27	6e-10	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71295.1	Rieske_2	PF13806.7	8.3e-07	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71296.1				143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71297.1				143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71298.1				143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71299.1				143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71300.1	MFS_1	PF07690.17	5.7e-35	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71301.1	Aldo_ket_red	PF00248.22	2.1000000000000002e-63	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71302.1	AMP-binding	PF00501.29	1.0999999999999996e-148	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71302.1	Condensation	PF00668.21	6.6e-50	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71302.1	Epimerase	PF01370.22	5.7e-09	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71302.1	NAD_binding_4	PF07993.13	2e-37	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71302.1	PP-binding	PF00550.26	2.1e-20	143
806_Aspergillus_aculeatinus	GCA_003184765.1	RAH71303.1	DAHP_synth_1	PF00793.21	6.199999999999999e-96	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505111.1	Abhydrolase_1	PF00561.21	1.8e-05	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505111.1	Chlorophyllase2	PF12740.8	1.8e-08	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505111.1	PAF-AH_p_II	PF03403.14	2.4e-17	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505112.1				143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505113.1				143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505114.1	DIT1_PvcA	PF05141.13	1.2999999999999997e-71	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505114.1	TauD	PF02668.17	6.6e-20	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505115.1	Fungal_trans_2	PF11951.9	3.5e-08	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505115.1	Zn_clus	PF00172.19	2.5e-10	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505116.1	Methyltransf_24	PF13578.7	1.9e-09	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505116.1	Methyltransf_3	PF01596.18	1.4e-11	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505117.1				143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505118.1	Rieske	PF00355.27	6e-10	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505118.1	Rieske_2	PF13806.7	8.3e-07	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505119.1				143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505120.1				143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505121.1				143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505122.1				143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505123.1	MFS_1	PF07690.17	5.7e-35	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505124.1	Aldo_ket_red	PF00248.22	2.1000000000000002e-63	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505125.1	AMP-binding	PF00501.29	1.0999999999999996e-148	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505125.1	Condensation	PF00668.21	6.6e-50	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505125.1	Epimerase	PF01370.22	5.7e-09	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505125.1	NAD_binding_4	PF07993.13	2e-37	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505125.1	PP-binding	PF00550.26	2.1e-20	143
3642_Aspergillus_aculeatinus	GCF_003184765.1	XP_025505126.1	DAHP_synth_1	PF00793.21	6.199999999999999e-96	143
