Cluster_Name	NCBI_Accession	Protein	Domain	Domain_Accession	E-value_hmmer	FinalGCFs
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73021.1	DAO	PF01266.25	8.3e-05	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73021.1	FAD_binding_3	PF01494.20	2.4e-58	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73021.1	HI0933_like	PF03486.15	4.3e-05	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73021.1	Pyr_redox_3	PF13738.7	4.9e-05	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73022.1	DIT1_PvcA	PF05141.13	8.999999999999999e-95	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73022.1	TauD	PF02668.17	3.1e-20	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73023.1	Epimerase	PF01370.22	4.8e-10	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73023.1	NAD_binding_10	PF13460.7	9.8e-06	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73024.1	Fungal_trans	PF04082.19	1.5999999999999998e-25	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73024.1	Zn_clus	PF00172.19	3.7e-08	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73025.1	Amidohydro_2	PF04909.15	1.3e-28	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73026.1	p450	PF00067.23	1.6000000000000002e-44	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73027.1	FMO-like	PF00743.20	8.5e-11	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73027.1	K_oxygenase	PF13434.7	6.8000000000000005e-09	68
222_Pestalotiopsis_fici	GCA_000516985.1	ETS73027.1	Pyr_redox_3	PF13738.7	3.4e-06	68
1217_Neopestalotiopsis_spp	GCA_011058875.1	KAF2995300.1	FAD_binding_3	PF01494.20	4.699999999999999e-59	68
1217_Neopestalotiopsis_spp	GCA_011058875.1	KAF2995300.1	HI0933_like	PF03486.15	9.1e-05	68
1217_Neopestalotiopsis_spp	GCA_011058875.1	KAF2995301.1	DIT1_PvcA	PF05141.13	1.2e-95	68
1217_Neopestalotiopsis_spp	GCA_011058875.1	KAF2995301.1	TauD	PF02668.17	2.0000000000000002e-21	68
1217_Neopestalotiopsis_spp	GCA_011058875.1	KAF2995302.1				68
1217_Neopestalotiopsis_spp	GCA_011058875.1	KAF2995303.1	Fungal_trans	PF04082.19	5.5e-23	68
1217_Neopestalotiopsis_spp	GCA_011058875.1	KAF2995304.1	Amidohydro_2	PF04909.15	4.0000000000000003e-29	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7529001.1	FAD_binding_3	PF01494.20	4.799999999999999e-59	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7529001.1	HI0933_like	PF03486.15	9.3e-05	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528985.1	DIT1_PvcA	PF05141.13	1.2e-95	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528985.1	TauD	PF02668.17	9e-22	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528986.1	Metallophos	PF00149.29	1.8e-10	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528986.1	Metallophos_2	PF12850.8	3.4e-05	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528987.1	Fungal_trans	PF04082.19	7.6e-22	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528988.1	Amidohydro_2	PF04909.15	5.999999999999998e-29	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528989.1	p450	PF00067.23	6.1e-45	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528990.1	FMO-like	PF00743.20	2.9e-09	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528990.1	K_oxygenase	PF13434.7	1.1000000000000001e-08	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528990.1	Pyr_redox_2	PF07992.15	4.3e-05	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528990.1	Pyr_redox_3	PF13738.7	7.8e-07	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528991.1	DUF1776	PF08643.11	7.2e-05	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528991.1	KR	PF08659.11	2.9e-07	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528991.1	adh_short	PF00106.26	8.5e-35	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528991.1	adh_short_C2	PF13561.7	8.6e-19	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528992.1	Abhydrolase_3	PF07859.14	1.7999999999999997e-24	68
1514_Neopestalotiopsis_clavispora	GCA_014621435.1	KAF7528992.1	Say1_Mug180	PF10340.10	8.900000000000001e-14	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841968.1	DAO	PF01266.25	8.3e-05	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841968.1	FAD_binding_3	PF01494.20	2.4e-58	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841968.1	HI0933_like	PF03486.15	4.3e-05	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841968.1	Pyr_redox_3	PF13738.7	4.9e-05	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841969.1	DIT1_PvcA	PF05141.13	8.999999999999999e-95	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841969.1	TauD	PF02668.17	3.1e-20	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841970.1	Epimerase	PF01370.22	4.8e-10	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841970.1	NAD_binding_10	PF13460.7	9.8e-06	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841971.1	Fungal_trans	PF04082.19	1.5999999999999998e-25	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841971.1	Zn_clus	PF00172.19	3.7e-08	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841972.1	Amidohydro_2	PF04909.15	1.3e-28	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841973.1	p450	PF00067.23	1.6000000000000002e-44	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841974.1	FMO-like	PF00743.20	8.5e-11	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841974.1	K_oxygenase	PF13434.7	6.8000000000000005e-09	68
3498_Pestalotiopsis_fici	GCF_000516985.1	XP_007841974.1	Pyr_redox_3	PF13738.7	3.4e-06	68
