Cluster_Name	NCBI_Accession	Protein	Domain	Domain_Accession	E-value_hmmer	FinalGCFs
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13236.1	FAD_binding_3	PF01494.20	9.900000000000001e-57	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13237.1				41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13238.1	DIT1_PvcA	PF05141.13	1.4e-83	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13238.1	TauD	PF02668.17	2.0000000000000002e-21	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13239.1	Annexin	PF00191.21	2.3e-67	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13240.1				41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13241.1	TMA7	PF09072.11	2.1e-24	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13242.1	PK_Tyr_Ser-Thr	PF07714.18	7.1e-24	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13242.1	Pkinase	PF00069.26	1.6999999999999998e-53	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13243.1	PK_Tyr_Ser-Thr	PF07714.18	2.6999999999999997e-31	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13243.1	Pkinase	PF00069.26	1.3999999999999998e-52	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13244.1				41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13245.1	CSN8_PSD8_EIF3K	PF10075.10	3.2e-05	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13246.1	HlyIII	PF03006.21	1.6e-65	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13247.1	adh_short	PF00106.26	3.1e-14	41
142_Drepanopeziza_brunnea	GCA_000298775.1	EKD13247.1	adh_short_C2	PF13561.7	4.3e-09	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296568.1	FAD_binding_3	PF01494.20	9.900000000000001e-57	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296569.1				41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296570.1	DIT1_PvcA	PF05141.13	1.4e-83	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296570.1	TauD	PF02668.17	2.0000000000000002e-21	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296571.1	Annexin	PF00191.21	2.3e-67	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296572.1				41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296573.1	TMA7	PF09072.11	2.1e-24	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296574.1	PK_Tyr_Ser-Thr	PF07714.18	7.1e-24	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296574.1	Pkinase	PF00069.26	1.6999999999999998e-53	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296575.1	PK_Tyr_Ser-Thr	PF07714.18	2.6999999999999997e-31	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296575.1	Pkinase	PF00069.26	1.3999999999999998e-52	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296576.1				41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296577.1	CSN8_PSD8_EIF3K	PF10075.10	3.2e-05	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296578.1	HlyIII	PF03006.21	1.6e-65	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296579.1	adh_short	PF00106.26	3.1e-14	41
3453_Drepanopeziza_brunnea	GCF_000298775.1	XP_007296579.1	adh_short_C2	PF13561.7	4.3e-09	41
