Cluster_Name	NCBI_Accession	Protein	Domain	Domain_Accession	E-value_hmmer	FinalGCFs
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4488348.1	DIT1_PvcA	PF05141.13	3.3999999999999995e-104	dit (variation 3)*
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4489900.1	DJ-1_PfpI	PF01965.25	6.7e-15	dit (variation 3)*
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4488338.1	zf-C2H2	PF00096.27	2.9e-22	dit (variation 3)*
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4488338.1	zf-C2H2_4	PF13894.7	4.5e-14	dit (variation 3)*
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4488338.1	zf-H2C2_2	PF13465.7	1.7e-16	dit (variation 3)*
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4488338.1	zf-H2C2_5	PF13909.7	7.8e-06	dit (variation 3)*
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4488493.1				dit (variation 3)*
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4489897.1	Mito_carr	PF00153.28	1.1e-61	dit (variation 3)*
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4489896.1	RRM_1	PF00076.23	8.599999999999999e-33	dit (variation 3)*
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4488328.1	DUF1688	PF07958.12	1.7999999999999997e-155	dit (variation 3)*
148_Colletotrichum_fructicola	GCA_000319635.2	KAF4488483.1				dit (variation 3)*
160_Bipolaris_maydis	GCA_000338975.1	EMD97055.1	DJ-1_PfpI	PF01965.25	7.400000000000001e-14	dit (variation 3)*
160_Bipolaris_maydis	GCA_000338975.1	EMD97056.1	DIT1_PvcA	PF05141.13	1.1e-86	dit (variation 3)*
160_Bipolaris_maydis	GCA_000338975.1	EMD97057.1	p450	PF00067.23	7.199999999999999e-63	dit (variation 3)*
160_Bipolaris_maydis	GCA_000338975.1	EMD97058.1	MFS_1	PF07690.17	3.8999999999999996e-39	dit (variation 3)*
160_Bipolaris_maydis	GCA_000338975.1	EMD97059.1	DSBA	PF01323.21	8.399999999999999e-37	dit (variation 3)*
160_Bipolaris_maydis	GCA_000338975.1	EMD97059.1	Thioredoxin_4	PF13462.7	2.3e-05	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66477.1	Ctr	PF04145.16	1.6e-40	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66478.1	DJ-1_PfpI	PF01965.25	6.1e-13	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66479.1	DIT1_PvcA	PF05141.13	9.599999999999998e-88	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66480.1	p450	PF00067.23	2.9e-61	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66481.1	MFS_1	PF07690.17	1.6000000000000001e-38	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66482.1	DSBA	PF01323.21	2.8e-37	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66482.1	Thioredoxin_4	PF13462.7	7.8e-05	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66483.1	Cellulase	PF00150.19	4.8e-07	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66484.1	Ribosomal_S18	PF01084.21	1.3e-16	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66485.1	PPR	PF01535.21	4.4e-05	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66485.1	PPR_2	PF13041.7	3.5e-07	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66486.1	Kelch_1	PF01344.26	3.2e-08	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66486.1	Kelch_3	PF13415.7	5.3e-05	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66486.1	Kelch_4	PF13418.7	6.8e-06	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66486.1	Kelch_5	PF13854.7	8.4e-13	dit (variation 3)*
163_Bipolaris_sorokiniana	GCA_000338995.1	EMD66486.1	Kelch_6	PF13964.7	2.2000000000000002e-08	dit (variation 3)*
179_Colletotrichum_orbiculare	GCA_000350065.2	TDZ22547.1	DIT1_PvcA	PF05141.13	3.3e-102	dit (variation 3)*
179_Colletotrichum_orbiculare	GCA_000350065.2	TDZ22593.1				dit (variation 3)*
179_Colletotrichum_orbiculare	GCA_000350065.2	TDZ22545.1				dit (variation 3)*
179_Colletotrichum_orbiculare	GCA_000350065.2	TDZ22546.1	MFS_1	PF07690.17	1.7e-26	dit (variation 3)*
179_Colletotrichum_orbiculare	GCA_000350065.2	TDZ22546.1	Sugar_tr	PF00083.25	4.2999999999999993e-14	dit (variation 3)*
179_Colletotrichum_orbiculare	GCA_000350065.2	TDZ22592.1	p450	PF00067.23	2.3000000000000002e-45	dit (variation 3)*
179_Colletotrichum_orbiculare	GCA_000350065.2	TDZ22424.1	MFS_1	PF07690.17	2.0999999999999998e-40	dit (variation 3)*
179_Colletotrichum_orbiculare	GCA_000350065.2	TDZ22424.1	Sugar_tr	PF00083.25	2.4e-11	dit (variation 3)*
191_Bipolaris_maydis	GCA_000354255.1	ENI04474.1	Cellulase	PF00150.19	1.2e-07	dit (variation 3)*
191_Bipolaris_maydis	GCA_000354255.1	ENI04475.1	DSBA	PF01323.21	8.100000000000001e-37	dit (variation 3)*
191_Bipolaris_maydis	GCA_000354255.1	ENI04475.1	Thioredoxin_4	PF13462.7	2.2e-05	dit (variation 3)*
191_Bipolaris_maydis	GCA_000354255.1	ENI04475.1	Thioredoxin_5	PF13743.7	9.7e-05	dit (variation 3)*
191_Bipolaris_maydis	GCA_000354255.1	ENI04476.1	MFS_1	PF07690.17	3.7e-39	dit (variation 3)*
191_Bipolaris_maydis	GCA_000354255.1	ENI04477.1	p450	PF00067.23	6.899999999999999e-63	dit (variation 3)*
191_Bipolaris_maydis	GCA_000354255.1	ENI04478.1	DIT1_PvcA	PF05141.13	1.1e-86	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84960.1	MFS_1	PF07690.17	1.2e-37	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84961.1	p450	PF00067.23	3.0000000000000004e-65	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84962.1	DIT1_PvcA	PF05141.13	5.899999999999999e-90	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84963.1	ADC	PF06314.12	2e-27	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84964.1	ADH_N	PF08240.13	2e-18	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84964.1	ADH_zinc_N	PF00107.27	5.2e-14	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84964.1	ADH_zinc_N_2	PF13602.7	1.6e-05	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84965.1	DJ-1_PfpI	PF01965.25	1.5e-12	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84966.1	Ctr	PF04145.16	9.2e-42	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84967.1	TFIIIC_delta	PF12657.8	4.900000000000001e-42	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84967.1	zf-TFIIIC	PF12660.8	1.2e-31	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84968.1	DEAD	PF00270.30	2.8000000000000004e-49	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84968.1	Helicase_C	PF00271.32	1.2e-29	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84968.1	UTP25	PF06862.13	2.9e-05	dit (variation 3)*
193_Exserohilum_turcicum	GCA_000359705.1	EOA84969.1				dit (variation 3)*
214_Colletotrichum_gloeosporioides	GCA_000446055.1	EQB45532.1				dit (variation 3)*
214_Colletotrichum_gloeosporioides	GCA_000446055.1	EQB45533.1				dit (variation 3)*
214_Colletotrichum_gloeosporioides	GCA_000446055.1	EQB45534.1	Ras	PF00071.23	7.9e-27	dit (variation 3)*
214_Colletotrichum_gloeosporioides	GCA_000446055.1	EQB45534.1	Roc	PF08477.14	1.5e-08	dit (variation 3)*
214_Colletotrichum_gloeosporioides	GCA_000446055.1	EQB45519.1	zf-C2H2	PF00096.27	2.7e-22	dit (variation 3)*
