Cluster_Name	NCBI_Accession	Protein	Domain	Domain_Accession	E-value_hmmer	FinalGCFs
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78009.1				6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78010.1	MFS_1	PF07690.17	4.4e-22	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78011.1	KR	PF08659.11	1.1e-07	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78011.1	adh_short	PF00106.26	1.8e-30	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78011.1	adh_short_C2	PF13561.7	1.9999999999999997e-31	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78012.1	DAO	PF01266.25	1.6e-05	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78012.1	FAD_binding_3	PF01494.20	1.4000000000000001e-59	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78012.1	FAD_oxidored	PF12831.8	5e-05	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78012.1	HI0933_like	PF03486.15	4.2e-05	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78012.1	NAD_binding_8	PF13450.7	5.1e-05	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78012.1	Pyr_redox_2	PF07992.15	2.7e-05	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78012.1	Pyr_redox_3	PF13738.7	5.3e-05	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78013.1	DIT1_PvcA	PF05141.13	1.4999999999999999e-90	6*
17_Uncinocarpus_reesii	GCA_000003515.2	EEP78013.1	TauD	PF02668.17	7.699999999999998e-25	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34806.3	DIT1_PvcA	PF05141.13	1.3999999999999996e-94	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34806.3	TauD	PF02668.17	1.9999999999999998e-25	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34805.3				6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34804.3	FAD_binding_3	PF01494.20	1.1e-49	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34802.3	KR	PF08659.11	4.4000000000000004e-08	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34802.3	adh_short	PF00106.26	3.5e-31	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34802.3	adh_short_C2	PF13561.7	2.6e-36	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34801.3	CoA_transf_3	PF02515.18	1.4e-31	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34800.2	SAT	PF16073.6	1.1e-50	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34799.2	p450	PF00067.23	8.399999999999999e-68	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34798.3	MFS_1	PF07690.17	3.4e-23	6*
30_Coccidioides_immitis	GCA_000149335.2	EAS34797.3	DHDPS	PF00701.23	2.2e-41	6*
30_Coccidioides_immitis	GCA_000149335.2	KJF60366.1	MFS_1	PF07690.17	5.7e-09	6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47650.1				6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47649.1				6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47648.1				6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47647.1	3Beta_HSD	PF01073.20	7.699999999999999e-06	6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47647.1	Epimerase	PF01370.22	1.1e-09	6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47647.1	NAD_binding_10	PF13460.7	2.9e-06	6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47646.1	Ank	PF00023.31	1.3000000000000001e-12	6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47646.1	Ank_2	PF12796.8	1.3e-21	6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47646.1	Ank_3	PF13606.7	8.7e-11	6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47646.1	Ank_4	PF13637.7	7.1e-16	6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47646.1	Ank_5	PF13857.7	1.2e-09	6*
34_Fusarium_verticillioides	GCA_000149555.1	EWG47646.1	PK_Tyr_Ser-Thr	PF07714.18	1.4e-18	6*
